鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,17.24,住,,,1110821,土地24建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.18,4,1,2,有,無,30920000,183603,坡道平面,25.3,2300000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPSNMLMLQHHGFAF08CB,新美齊?世代,B棟B1-17F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,14.0,住,,,1110821,土地24建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.81,3,1,2,有,無,25630000,184017,坡道平面,25.3,2350000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPPOMLMLQHHGFAF87CB,新美齊?世代,D棟F5-24F號
林口區,房地(土地+建物)+車位,新北市林口區仁愛二路,22.49,住,,,1110821,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.33,3,2,2,有,無,18980000,144353,坡道平面,26.78,2300000,,RPVSMLMLQHHGFBF98CB,立軒天翠,A棟3號
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路1段306號旁工地,14.0,住,,,1110821,土地1建物1車位1,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.24,2,2,2,有,無,9100000,83024,坡道平面,31.7,1500000,,RPTOMLMLQHHGFEF68CB,新品苑,A7棟12F號
三重區,房地(土地+建物)+車位,新北市三重區元富二街,25.75,住,,,1110821,土地1建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.68,3,2,2,有,無,26260000,160596,坡道平面,35.42,2450000,雨遮不計價。,RPQNMLNLQHHGFGF58CB,元富信城鼎,B3-3F號
中和區,房地(土地+建物)+車位,新北市中和區景平路,6.84,商,,,1110823,土地2建物1車位1,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,69.39,0,0,1,有,無,11700000,177022,其他,11.77,1500000,,RPQNMLOLQHHGFHF78CB,昌田捷境,D棟3號
林口區,房地(土地+建物)+車位,新北市林口區仁愛二路,14.38,住,,,1110821,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.61,2,2,2,有,無,13290000,150210,坡道平面,26.78,2200000,,RPWNMLOLQHHGFBF78CB,立軒天翠,A棟2號
林口區,房地(土地+建物)+車位,新北市林口區仁愛二路,14.38,住,,,1110821,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.61,2,2,2,有,無,13450000,151023,坡道平面,26.78,2300000,,RPROMLOLQHHGFBF38CB,立軒天翠,A棟2號
五股區,房地(土地+建物)+車位,新北市五股區新五路三段,9.73,商,,,1110823,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,72.73,0,0,0,無,無,7280000,100096,坡道機械,18.53,0,車位價格為130萬已含交易總價內因無法拆分於此說明.,RPPPMLOLQHHGFBF28CB,九揚威騰堡,A10-5F號
五股區,房地(土地+建物)+車位,新北市五股區新五路三段,15.44,住,,,1110824,土地4建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.14,3,2,2,有,無,14500000,128160,坡道平面,21.67,0,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPWPMLOLQHHGFBF98CB,天空之邑,A2棟15F號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段與信義路交叉口,14.73,住,,,1110821,土地4建物1車位1,二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.0,2,2,2,有,無,16350000,135877,坡道平面,31.39,2000000,,RPVNMLQLQHHGFBF88CB,潤鴻日麗,B棟2-2F號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段與信義路交叉口,17.52,住,,,1110823,土地4建物1車位1,三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.93,3,2,2,有,無,18080000,125697,坡道平面,31.39,2300000,,RPXNMLQLQHHGFBF09CB,潤鴻日麗,B棟1-3F號
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段41巷,17.33,住,,,1110821,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.07,2,2,2,有,無,15660000,138630,坡道平面,30.42,2400000,,RPPOMLQLQHHGFBF38CB,合峰曜境,B1棟14F號
淡水區,房地(土地+建物)+車位,新北市淡水區八勢一街,16.47,住,,,1110827,土地2建物1車位1,十六層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.22,2,2,1,有,無,12950000,133804,坡道平面,32.9,1400000,,RPPNMLRLQHHGFEF68CB,岳泰峰碩,A棟8-16號
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷65弄,17.04,住,,,1110825,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.38,3,2,2,有,無,12100000,87037,坡道平面,30.89,1700000,,RPQNMLRLQHHGFEF78CB,新潤心苑,A1-15F號
淡水區,房地(土地+建物)+車位,新北市淡水區八勢一街,16.47,住,,,1110827,土地2建物1車位1,十七層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.22,2,2,1,有,無,12750000,132646,坡道平面,32.9,1300000,,RPRNMLRLQHHGFEF88CB,岳泰峰碩,A棟7-17號
淡水區,房地(土地+建物)+車位,新北市淡水區八勢一街,16.47,住,,,1110827,土地2建物1車位1,十七層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.22,2,2,1,有,無,12850000,133225,坡道平面,32.9,1350000,,RPSNMLRLQHHGFEF98CB,岳泰峰碩,A棟8-17號
林口區,房地(土地+建物)+車位,新北市林口區文化一路一段135巷/文化一路83巷14弄交叉路口,25.08,住,,,1110821,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.31,2,2,2,有,無,15360000,152856,坡道平面,23.87,2300000,,RPSTMLSLQHHGFBF76CB,侘壹,B棟1號
新莊區,房地(土地+建物)+車位,新北市新莊區中央路,13.38,商,,,1110824,土地3建物1車位1,三層,23,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,194.23,0,0,0,無,無,27450000,160983,坡道平面,36.76,2100000,交易總價含下列非屬預售屋價格之費用:毛胚屋；,RPOOMLTLQHHGFBF58CB,百邑富都匯,B3-3F號
新莊區,房地(土地+建物)+車位,新北市新莊區中央路,13.38,商,,,1110822,土地3建物1車位1,十七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.12,3,2,2,有,無,20600000,185333,坡道平面,36.76,2000000,,RPPOMLTLQHHGFBF68CB,百邑富都匯,C5-17F號
新莊區,房地(土地+建物)+車位,新北市新莊區中央路,13.38,商,,,1110824,土地3建物1車位1,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.12,3,2,2,有,無,19700000,176365,坡道平面,36.76,2000000,,RPQOMLTLQHHGFBF78CB,百邑富都匯,C5-7F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,13.44,住,,,1110821,土地24建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,146.93,3,1,2,有,無,22480000,165913,坡道平面,25.3,2300000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPPOMLTLQHHGFAF58CB,新美齊?世代,D棟E5-3F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,12.87,住,,,1110826,土地24建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.7,3,1,2,有,無,22720000,174570,坡道平面,25.3,2400000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPQOMLTLQHHGFAF68CB,新美齊?世代,D棟F6-9F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,17.89,住,,,1110827,土地24建物1車位2,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,214.38,4,1,2,有,無,35850000,188973,坡道平面,50.6,4900000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPROMLTLQHHGFAF78CB,新美齊?世代,B棟B1-24F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,13.68,住,,,1110823,土地24建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,149.27,3,1,2,有,無,23250000,170606,坡道平面,25.3,2100000,8F含）以下樓層為SRC建築9F-24F為RC建築,RPUOMLTLQHHGFAF09CB,新美齊?世代,B棟B3-2F號
淡水區,房地(土地+建物)+車位,新北市淡水區坪頂路,33.04,住,,,1110827,土地7建物1車位1,四層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,165.27,3,2,2,有,無,14880000,99008,坡道平面,33.16,1800000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPWNMLTLQHHGFEF96CB,米蘭日光,A3-4F號
三重區,房地(土地+建物)+車位,新北市三重區同安街C2-4F,16.32,住,,,1110827,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.57,3,2,2,有,無,20690000,150016,坡道平面,28.65,2400000,建物坐落:新北市三重區大安段563地號等64筆土地,RPPNMLTLQHHGFGF09CB,有逸市,C2棟4號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,52.58,住,,,1110826,土地1建物1車位2,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,269.54,3,2,3,有,無,52000000,227382,坡道平面,60.64,4500000,,RPPNMLTLQHHGFHF56CB,華固得月,A2-24F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.33,住,,,1110827,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.8,3,2,2,有,無,24450000,188874,坡道平面,30.32,2450000,,RPQNMLTLQHHGFHF66CB,華固得月,A3-08F號
新店區,房地(土地+建物)+車位,新北市新店區中山路,25.96,住,,,1110827,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.35,3,2,2,有,無,30380000,224775,坡道平面,25.76,2600000,,RPPNMLTLQHHGFCF68CB,漢皇吾岳,A棟A1/8F號
新店區,房地(土地+建物)+車位,新北市新店區中山路,15.88,住,,,1110822,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.31,2,2,1,有,無,19180000,220119,坡道平面,25.76,2550000,,RPQNMLTLQHHGFCF78CB,漢皇吾岳,A棟B6/9F號
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段,23.99,住,,,1110828,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,110.54,2,2,1,有,無,11400000,135696,坡道平面,38.32,1600000,,RPPNMLKMQHHGFEF08CB,大隱小藍海,C5-9F號
淡水區,房地(土地+建物),新北市淡水區八勢路,38.46,住,,,1110827,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,110.06,3,2,2,有,無,13860000,125931,,0.0,0,,RPQNMLKMQHHGFEF18CB,大隱小藍海,D9-2F號
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段上,12.9,商,,,1110821,土地4建物1車位1,十三層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,154.64,3,2,2,有,無,21080000,150668,坡道平面,27.34,1900000,,RPQNMLKMQHHGFBF87CB,亞昕昕銀座,A3棟13號
五股區,房地(土地+建物),新北市五股區新五路二段,18.41,住,,,1110821,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,70.67,2,2,2,有,無,9800000,138673,,0.0,0,,RPUNMLKMQHHGFBF28CB,美富.加倍家,A棟2號
板橋區,房地(土地+建物)+車位,新北市板橋區國慶路１２４號旁,12.74,住,,,1110822,土地1建物1車位1,二十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.96,2,2,1,有,無,17260000,183170,坡道平面,35.56,2350000,雨遮面積登記不計價,RPQNMLLMQHHGFAF87CB,誠果禾樂,A3-21F號
板橋區,房地(土地+建物),新北市板橋區國慶路１２４號旁,7.32,住,,,1110823,土地1建物1車位0,十五層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,,50.51,1,1,1,有,無,8660000,171451,,0.0,0,雨遮面積登記不計價,RPRNMLLMQHHGFAF97CB,誠果禾樂,A5-15F號
板橋區,房地(土地+建物),新北市板橋區國慶路１２４號旁,7.32,住,,,1110822,土地1建物1車位0,十七層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,,50.51,1,1,1,有,無,8790000,174025,,0.0,0,雨遮面積登記不計價,RPTNMLLMQHHGFAF18CB,誠果禾樂,A5-17F號
板橋區,房地(土地+建物)+車位,新北市板橋區國慶路１２４號旁,13.03,住,,,1110822,土地1建物1車位1,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.78,2,2,1,有,無,15820000,165465,坡道平面,35.56,2050000,雨遮面積登記不計價,RPUNMLLMQHHGFAF28CB,誠果禾樂,B2-13F號
板橋區,房地(土地+建物)+車位,新北市板橋區雙十路2段130巷2弄,16.49,住,,,1110827,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.26,3,2,2,有,無,27900000,205635,坡道機械,12.85,1700000,,RPVNMLLMQHHGFAF38CB,發樓ME,B4棟3F號
板橋區,房地(土地+建物)+車位,新北市板橋區國慶路１２４號旁,13.03,住,,,1110822,土地1建物1車位1,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.78,2,2,1,有,無,16400000,170632,坡道平面,35.56,2200000,雨遮面積登記不計價,RPWNMLLMQHHGFAF48CB,誠果禾樂,B2-17F號
板橋區,房地(土地+建物),新北市板橋區國慶路１２４號旁,9.73,住,,,1110823,土地1建物1車位0,六層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,,67.31,1,1,1,有,無,11150000,165651,,0.0,0,雨遮面積登記不計價,RPPOMLLMQHHGFAF87CB,誠果禾樂,B3-6F號
板橋區,房地(土地+建物),新北市板橋區國慶路１２４號旁,7.28,住,,,1110823,土地1建物1車位0,十三層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,,50.25,1,1,1,有,無,8570000,170547,,0.0,0,雨遮面積登記不計價,RPQOMLLMQHHGFAF97CB,誠果禾樂,B5-13F號
板橋區,房地(土地+建物),新北市板橋區國慶路１２４號旁,7.32,住,,,1110822,土地1建物1車位0,十四層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,,50.51,1,1,1,有,無,8620000,170659,,0.0,0,雨遮面積登記不計價,RPROMLLMQHHGFAF08CB,誠果禾樂,B5-14F號
板橋區,房地(土地+建物),新北市板橋區國慶路１２４號旁,7.32,住,,,1110822,土地1建物1車位0,十六層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,,50.51,1,1,1,有,無,8760000,173431,,0.0,0,雨遮面積登記不計價,RPSOMLLMQHHGFAF18CB,誠果禾樂,B5-16F號
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,27.84,住,,,1110827,土地2建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.28,2,2,1,有,無,11400000,129993,坡道平面,31.43,1800000,休閒會館之土地持分面積為5/1000000。,RPQNMLLMQHHGFEF28CB,森原樹·樹之岩,G棟G12-3F號
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,45.3,住,,,1110826,土地2建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.58,3,2,2,有,無,17500000,131502,坡道平面,31.43,1700000,休閒會館之土地持分面積為8/1000000。,RPRNMLLMQHHGFEF38CB,森原樹·樹之岩,E棟E5-2F號
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路2段5巷,13.67,住,,,1110828,土地16建物1車位1,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.67,2,1,1,有,無,10490000,116451,坡道平面,31.47,1500000,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPSOMLLMQHHGFEF58CB,湯泉紅樹林,B棟B13-15F號
淡水區,房地(土地+建物),新北市淡水區中正東路2段5巷,18.47,住,,,1110823,土地16建物1車位0,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.89,3,1,2,有,無,11860000,113071,,0.0,0,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPWOMLLMQHHGFEF98CB,湯泉紅樹林,B棟B2-6F號
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路2段5巷,13.67,住,,,1110827,土地16建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.96,2,1,1,有,無,10260000,110466,坡道平面,31.47,1700000,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPOPMLLMQHHGFEF28CB,湯泉紅樹林,B棟B12-2F號
新店區,房地(土地+建物)+車位,新北市新店區斯馨路日月街口,21.02,住,,,1110827,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.84,3,2,2,有,無,24900000,221569,坡道平面,30.42,2650000,,RPPNMLLMQHHGFCF97CB,鼎實唯我,B棟B2號
新店區,房地(土地+建物)+車位,新北市新店區斯馨路日月街口,17.2,住,,,1110821,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.3,2,2,2,有,無,20010000,213239,坡道平面,30.42,2550000,,RPRNMLLMQHHGFCF18CB,鼎實唯我,B棟B6號
新店區,房地(土地+建物)+車位,新北市新店區斯馨路、十四張路口,20.64,住,,,1110827,土地3建物1車位1,十六層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,122.91,3,2,2,有,無,25330000,237081,坡道平面,25.77,2300000,,RPRNMLLJRHHGFCF97CB,聯上澐朗,B棟B6-16F號
樹林區,房地(土地+建物)+車位,新北市樹林區復興路,23.78,住,,,1110825,土地8建物1車位2,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,225.27,4,2,2,有,無,30000000,161341,坡道平面,65.98,4300000,,RPPNMLLJRHHGFIF38CB,米蘭敦美,A棟12號
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷,17.2,住,,,1110827,土地1建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.21,2,2,1,有,無,21400000,204752,坡道平面,32.88,2700000,,RPPNMLLJRHHGFGF18CB,新美齊The Top,A棟A8-5F號
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷,17.2,住,,,1110827,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.21,2,2,1,有,無,22040000,211760,坡道平面,32.88,2700000,,RPQNMLLJRHHGFGF28CB,新美齊The Top,A棟A8-23F號
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道與南雅南路口,18.93,住,,,1110826,土地35建物1車位1,十七層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,189.72,3,2,2,有,無,29000000,177293,坡道平面,38.84,2250000,,RPPNMLLJRHHGFAF57CB,萬禧園,A8-17F號
土城區,房地(土地+建物)+車位,新北市土城區莊園街11號旁,49.91,住,,,1110827,土地1建物1車位2,三十二層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,324.76,4,2,3,有,無,49680000,176124,坡道平面,69.94,4800000,,RPQNMLLJRHHGFAF67CB,大同莊園III,A棟A3-32F號
土城區,房地(土地+建物),新北市土城區莊園街11號旁,15.76,住,,,1110823,土地1建物1車位0,二十二層,32,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,80.58,2,2,1,有,無,15090000,187267,,0.0,0,,RPRNMLLJRHHGFAF77CB,大同莊園III,B棟B7-22F號
